,dia,variable,value
762,2015-02-02,seco,40979
763,2015-02-03,seco,41808
764,2015-02-04,seco,41386
765,2015-02-05,seco,40110
766,2015-02-06,seco,39224
767,2015-02-07,seco,35407
768,2015-02-08,seco,32238
769,2015-02-09,seco,39069
770,2015-02-10,seco,40611
771,2015-02-11,seco,41600
772,2015-02-12,seco,42964
773,2015-02-13,seco,43147
774,2015-02-14,seco,38121
775,2015-02-15,seco,33342
776,2015-02-16,seco,34667
777,2015-02-17,seco,34592
778,2015-02-18,seco,38636
779,2015-02-19,seco,40447
780,2015-02-20,seco,40957
781,2015-02-21,seco,37828
782,2015-02-22,seco,34734
783,2015-02-23,seco,41958
784,2015-02-24,seco,42656
785,2015-02-25,seco,42737
786,2015-02-26,seco,42506
787,2015-02-27,seco,42052
788,2015-02-28,seco,37380
789,2015-03-01,seco,32755
790,2015-03-02,seco,39562
791,2015-03-03,seco,40871
792,2015-03-04,seco,41451
793,2015-03-05,seco,41686
794,2015-03-06,seco,41883
795,2015-03-07,seco,37220
796,2015-03-08,seco,33148
797,2015-03-09,seco,38974
798,2015-03-10,seco,39949
799,2015-03-11,seco,40516
800,2015-03-12,seco,40121
801,2015-03-13,seco,40267
802,2015-03-14,seco,36326
803,2015-03-15,seco,32825
804,2015-03-16,seco,39692
805,2015-03-17,seco,39846
806,2015-03-18,seco,39692
807,2015-03-19,seco,39463
808,2015-03-20,seco,39469
809,2015-03-21,seco,35286
810,2015-03-22,seco,31567
811,2015-03-23,seco,37044
812,2015-03-24,seco,38056
813,2015-03-25,seco,38698
814,2015-03-26,seco,39487
815,2015-03-27,seco,39933
816,2015-03-28,seco,36352
817,2015-03-29,seco,32950
818,2015-03-30,seco,39030
819,2015-03-31,seco,40403
820,2015-04-01,seco,39779
821,2015-04-02,seco,38314
822,2015-04-03,seco,30975
823,2015-04-04,seco,32413
824,2015-04-05,seco,31460
825,2015-04-06,seco,38374
826,2015-04-07,seco,37522
827,2015-04-08,seco,37001
828,2015-04-09,seco,37154
829,2015-04-10,seco,37488
830,2015-04-11,seco,34346
831,2015-04-12,seco,30901
832,2015-04-13,seco,37256
833,2015-04-14,seco,38251
834,2015-04-15,seco,38862
835,2015-04-16,seco,38997
836,2015-04-17,seco,38643
837,2015-04-18,seco,35196
838,2015-04-19,seco,31749
839,2015-04-20,seco,36599
840,2015-04-21,seco,34247
841,2015-04-22,seco,38149
842,2015-04-23,seco,37009
843,2015-04-24,seco,37550
844,2015-04-25,seco,33579
845,2015-04-26,seco,29101
846,2015-04-27,seco,35164
847,2015-04-28,seco,36503
848,2015-04-29,seco,36195
849,2015-04-30,seco,35171
850,2015-05-01,seco,29297
851,2015-05-02,seco,29811
852,2015-05-03,seco,28700
853,2015-05-04,seco,35792
854,2015-05-05,seco,36597
855,2015-05-06,seco,35371
856,2015-05-07,seco,34822
857,2015-05-08,seco,33919
858,2015-05-09,seco,30912
859,2015-05-10,seco,27671
860,2015-05-11,seco,34657
861,2015-05-12,seco,35601
862,2015-05-13,seco,34950
863,2015-05-14,seco,34552
864,2015-05-15,seco,34098
865,2015-05-16,seco,30961
866,2015-05-17,seco,27936
867,2015-05-18,seco,33805
868,2015-05-19,seco,34720
869,2015-05-20,seco,35012
870,2015-05-21,seco,35174
871,2015-05-22,seco,35013
872,2015-05-23,seco,31849
873,2015-05-24,seco,28600
874,2015-05-25,seco,35080
875,2015-05-26,seco,36253
876,2015-05-27,seco,36441
877,2015-05-28,seco,36488
878,2015-05-29,seco,35548
879,2015-05-30,seco,31612
880,2015-05-31,seco,28520
881,2015-06-01,seco,34272
882,2015-06-02,seco,35003
883,2015-06-03,seco,34716
884,2015-06-04,seco,29878
885,2015-06-05,seco,31804
886,2015-06-06,seco,30131
887,2015-06-07,seco,27729
888,2015-06-08,seco,33639
889,2015-06-09,seco,34878
890,2015-06-10,seco,35191
891,2015-06-11,seco,35621
892,2015-06-12,seco,35430
893,2015-06-13,seco,31767
894,2015-06-14,seco,28785
895,2015-06-15,seco,34472
896,2015-06-16,seco,34140
897,2015-06-17,seco,34375
898,2015-06-18,seco,35201
899,2015-06-19,seco,33889
900,2015-06-20,seco,29999
901,2015-06-21,seco,26718
902,2015-06-22,seco,32466
903,2015-06-23,seco,33706
904,2015-06-24,seco,33546
905,2015-06-25,seco,33248
906,2015-06-26,seco,32712
907,2015-06-27,seco,29622
908,2015-06-28,seco,26357
909,2015-06-29,seco,31788
910,2015-06-30,seco,33187
911,2015-07-01,seco,33933
912,2015-07-02,seco,34261
913,2015-07-03,seco,34544
914,2015-07-04,seco,31114
915,2015-07-05,seco,26760
916,2015-07-06,seco,32083
917,2015-07-07,seco,33741
918,2015-07-08,seco,34439
919,2015-07-09,seco,32461
920,2015-07-10,seco,33143
921,2015-07-11,seco,30777
922,2015-07-12,seco,27791
923,2015-07-13,seco,33811
924,2015-07-14,seco,35027
925,2015-07-15,seco,35175
926,2015-07-16,seco,34911
927,2015-07-17,seco,34640
928,2015-07-18,seco,31469
929,2015-07-19,seco,27636
930,2015-07-20,seco,33697
931,2015-07-21,seco,34767
932,2015-07-22,seco,34252
933,2015-07-23,seco,34101
934,2015-07-24,seco,34572
935,2015-07-25,seco,31547
