,dia,variable,value
10730,2014-11-24,n,5245
10731,2014-11-25,n,5329
10732,2014-11-26,n,5321
10733,2014-11-27,n,5310
10734,2014-11-28,n,5292
10735,2014-11-29,n,5158
10736,2014-11-30,n,4943
10737,2014-12-01,n,5400
10738,2014-12-02,n,5430
10739,2014-12-03,n,5467
10740,2014-12-04,n,5389
10741,2014-12-05,n,5247
10742,2014-12-06,n,5022
10743,2014-12-07,n,4685
10744,2014-12-08,n,4792
10745,2014-12-09,n,5312
10746,2014-12-10,n,4982
10747,2014-12-11,n,5029
10748,2014-12-12,n,5127
10749,2014-12-13,n,5103
10750,2014-12-14,n,4763
10751,2014-12-15,n,5150
10752,2014-12-16,n,5224
10753,2014-12-17,n,5160
10754,2014-12-18,n,5151
10755,2014-12-19,n,5093
10756,2014-12-20,n,4880
10757,2014-12-21,n,4776
10758,2014-12-22,n,5140
10759,2014-12-23,n,5044
10760,2014-12-24,n,4862
10761,2014-12-25,n,4499
10762,2014-12-26,n,4938
10763,2014-12-27,n,5070
10764,2014-12-28,n,4971
10765,2014-12-29,n,5274
10766,2014-12-30,n,5206
10767,2014-12-31,n,4939
10768,2015-01-01,n,4541
10769,2015-01-02,n,4887
10770,2015-01-03,n,4856
10771,2015-01-04,n,4618
10772,2015-01-05,n,4877
10773,2015-01-06,n,5033
10774,2015-01-07,n,5113
10775,2015-01-08,n,5223
10776,2015-01-09,n,5165
10777,2015-01-10,n,4889
10778,2015-01-11,n,4588
10779,2015-01-12,n,5113
10780,2015-01-13,n,5122
10781,2015-01-14,n,5028
10782,2015-01-15,n,4955
10783,2015-01-16,n,5116
10784,2015-01-17,n,4864
10785,2015-01-18,n,4563
10786,2015-01-19,n,4964
10787,2015-01-20,n,4969
10788,2015-01-21,n,5113
10789,2015-01-22,n,5200
10790,2015-01-23,n,5107
10791,2015-01-24,n,4864
10792,2015-01-25,n,4569
10793,2015-01-26,n,5000
10794,2015-01-27,n,5207
10795,2015-01-28,n,5302
10796,2015-01-29,n,5367
10797,2015-01-30,n,5418
10798,2015-01-31,n,5144
10799,2015-02-01,n,4667
10800,2015-02-02,n,4997
10801,2015-02-03,n,4995
10802,2015-02-04,n,5040
10803,2015-02-05,n,5181
10804,2015-02-06,n,5205
10805,2015-02-07,n,4965
10806,2015-02-08,n,4617
10807,2015-02-09,n,5153
10808,2015-02-10,n,5225
10809,2015-02-11,n,5243
10810,2015-02-12,n,5284
10811,2015-02-13,n,5430
10812,2015-02-14,n,5094
10813,2015-02-15,n,4716
10814,2015-02-16,n,4804
10815,2015-02-17,n,4680
10816,2015-02-18,n,4825
10817,2015-02-19,n,5105
10818,2015-02-20,n,5231
10819,2015-02-21,n,4977
10820,2015-02-22,n,4443
10821,2015-02-23,n,4847
10822,2015-02-24,n,5017
10823,2015-02-25,n,5052
10824,2015-02-26,n,5135
10825,2015-02-27,n,5144
10826,2015-02-28,n,4994
10827,2015-03-01,n,4585
10828,2015-03-02,n,5007
10829,2015-03-03,n,5056
10830,2015-03-04,n,5134
10831,2015-03-05,n,5201
10832,2015-03-06,n,5154
10833,2015-03-07,n,4874
10834,2015-03-08,n,4739
10835,2015-03-09,n,5236
10836,2015-03-10,n,5324
10837,2015-03-11,n,5192
10838,2015-03-12,n,5349
10839,2015-03-13,n,5352
10840,2015-03-14,n,5060
10841,2015-03-15,n,4726
10842,2015-03-16,n,5174
10843,2015-03-17,n,5148
10844,2015-03-18,n,5111
10845,2015-03-19,n,5088
10846,2015-03-20,n,5065
10847,2015-03-21,n,4884
10848,2015-03-22,n,4659
10849,2015-03-23,n,5132
10850,2015-03-24,n,5074
10851,2015-03-25,n,5179
10852,2015-03-26,n,5329
10853,2015-03-27,n,5374
10854,2015-03-28,n,5120
10855,2015-03-29,n,4874
10856,2015-03-30,n,5347
10857,2015-03-31,n,5290
10858,2015-04-01,n,5258
10859,2015-04-02,n,5188
10860,2015-04-03,n,4798
10861,2015-04-04,n,4915
10862,2015-04-05,n,4943
10863,2015-04-06,n,5468
10864,2015-04-07,n,5588
10865,2015-04-08,n,5521
10866,2015-04-09,n,5329
10867,2015-04-10,n,5256
10868,2015-04-11,n,5142
10869,2015-04-12,n,4858
10870,2015-04-13,n,5302
10871,2015-04-14,n,5317
10872,2015-04-15,n,5188
10873,2015-04-16,n,5172
10874,2015-04-17,n,5227
10875,2015-04-18,n,4998
10876,2015-04-19,n,4777
10877,2015-04-20,n,5060
10878,2015-04-21,n,4943
10879,2015-04-22,n,5316
10880,2015-04-23,n,5302
10881,2015-04-24,n,5264
10882,2015-04-25,n,4961
10883,2015-04-26,n,4730
10884,2015-04-27,n,5191
10885,2015-04-28,n,5348
10886,2015-04-29,n,5293
10887,2015-04-30,n,5198
10888,2015-05-01,n,4569
10889,2015-05-02,n,4739
10890,2015-05-03,n,4478
10891,2015-05-04,n,5098
10892,2015-05-05,n,5163
10893,2015-05-06,n,5102
10894,2015-05-07,n,5138
10895,2015-05-08,n,5096
10896,2015-05-09,n,4988
10897,2015-05-10,n,4685
10898,2015-05-11,n,5204
10899,2015-05-12,n,5304
10900,2015-05-13,n,5397
10901,2015-05-14,n,5385
10902,2015-05-15,n,5375
10903,2015-05-16,n,5106
10904,2015-05-17,n,4821
10905,2015-05-18,n,5374
10906,2015-05-19,n,5324
10907,2015-05-20,n,5298
10908,2015-05-21,n,5391
10909,2015-05-22,n,5352
10910,2015-05-23,n,5053
10911,2015-05-24,n,4776
10912,2015-05-25,n,5292
10913,2015-05-26,n,5306
10914,2015-05-27,n,5294
10915,2015-05-28,n,5350
10916,2015-05-29,n,5330
10917,2015-05-30,n,5121
10918,2015-05-31,n,4838
10919,2015-06-01,n,5238
10920,2015-06-02,n,5313
10921,2015-06-03,n,5289
10922,2015-06-04,n,4997
10923,2015-06-05,n,5128
10924,2015-06-06,n,4868
10925,2015-06-07,n,4648
10926,2015-06-08,n,5281
10927,2015-06-09,n,5317
10928,2015-06-10,n,5340
10929,2015-06-11,n,5301
10930,2015-06-12,n,5286
10931,2015-06-13,n,4891
10932,2015-06-14,n,4665
10933,2015-06-15,n,5228
10934,2015-06-16,n,5280
10935,2015-06-17,n,5391
10936,2015-06-18,n,5345
10937,2015-06-19,n,5257
10938,2015-06-20,n,4892
10939,2015-06-21,n,4519
10940,2015-06-22,n,5042
10941,2015-06-23,n,5104
10942,2015-06-24,n,5099
10943,2015-06-25,n,5185
10944,2015-06-26,n,5131
10945,2015-06-27,n,4829
10946,2015-06-28,n,4584
10947,2015-06-29,n,5046
10948,2015-06-30,n,5101
10949,2015-07-01,n,4988
10950,2015-07-02,n,4920
10951,2015-07-03,n,5058
10952,2015-07-04,n,4735
10953,2015-07-05,n,4516
10954,2015-07-06,n,4840
10955,2015-07-07,n,4869
10956,2015-07-08,n,4988
10957,2015-07-09,n,5116
10958,2015-07-10,n,5165
10959,2015-07-11,n,4993
10960,2015-07-12,n,4685
10961,2015-07-13,n,5112
10962,2015-07-14,n,5196
10963,2015-07-15,n,5189
10964,2015-07-16,n,5210
10965,2015-07-17,n,5158
10966,2015-07-18,n,4900
10967,2015-07-19,n,4595
10968,2015-07-20,n,5073
10969,2015-07-21,n,5246
10970,2015-07-22,n,5227
10971,2015-07-23,n,5190
10972,2015-07-24,n,5200
10973,2015-07-25,n,4881
